Club,Number,Position,Nationality,Player,Captain
UTS Rabat,1,GK,MAR,Reda Asmama,False
UTS Rabat,2,DF,MAR,Youness Akharraz,False
UTS Rabat,3,DF,MAR,Anas Nanah,False
UTS Rabat,4,DF,POR,Tahar El Khalej,False
UTS Rabat,5,DF,MAR,Yassine El Khalej,False
UTS Rabat,6,MF,POR,Danny,False
UTS Rabat,7,FW,MAR,Youness Dahmani,False
UTS Rabat,8,MF,MAR,Hossam Essadak,False
UTS Rabat,9,FW,MAR,Yacine Bammou,False
UTS Rabat,10,MF,MAR,Mohamed Amine Essahel,False
UTS Rabat,11,FW,MAR,Ahmed Aboulfath,False
UTS Rabat,13,DF,MAR,Youssef Kajai,False
UTS Rabat,14,FW,MAR,Abdelkabir El Ouadi,False
UTS Rabat,15,DF,MAR,Hamza Regragui,False
UTS Rabat,16,MF,MAR,Hamza Bousqal,False
UTS Rabat,17,MF,MAR,Souhayl Zamrat,False
UTS Rabat,18,MF,MAR,Omar Arjoune,False
UTS Rabat,19,FW,MAR,Nasreddine Moustaghfir,False
UTS Rabat,20,DF,NED,Ilias Haddad,False
UTS Rabat,21,FW,MAR,Brahim El Bahraoui,False
UTS Rabat,23,MF,MAR,Abdelhay Forsy,False
UTS Rabat,25,DF,MAR,Taha Majni,False
UTS Rabat,26,MF,CIV,Banfa Sylla,False
UTS Rabat,27,DF,MAR,Zakaria Aiada,False
UTS Rabat,28,DF,MAR,Khalid Kasbi,False
UTS Rabat,29,FW,MAR,Mohamed Fouzair,False
UTS Rabat,31,MF,MAR,Walid Rhailouf,False
UTS Rabat,33,MF,MAR,Redouan Ait Lamkadem,False
UTS Rabat,34,FW,MAR,Zoubir Housni,False
UTS Rabat,37,FW,MAR,Salim Ghazzani,False
UTS Rabat,39,FW,MAR,Yassine Zraa,False
UTS Rabat,40,MF,MAR,Adam Chakir,False
UTS Rabat,41,DF,MAR,Mehdi Ashabi,False
UTS Rabat,50,GK,MAR,Walid Hasbi,False
UTS Rabat,52,DF,MAR,Fouad Zahouani,False
UTS Rabat,55,GK,MAR,Abderahmane El Houasli,False
